,latestPrice,zipcode,Count_Crimes
0,305000.0,78660,3005.0
1,295000.0,78660,3005.0
2,256125.0,78660,3005.0
3,240000.0,78660,3005.0
4,239900.0,78660,3005.0
5,309045.0,78660,3005.0
6,315000.0,78660,3005.0
7,219900.0,78660,3005.0
8,225000.0,78660,3005.0
9,194800.0,78617,3417.0
10,279900.0,78660,3005.0
11,250000.0,78617,3417.0
12,239900.0,78617,3417.0
13,200000.0,78617,3417.0
14,131679.0,78617,3417.0
15,200000.0,78617,3417.0
16,212000.0,78617,3417.0
17,687850.0,78717,3553.0
18,409000.0,78717,3553.0
19,199000.0,78724,6658.0
20,400000.0,78717,3553.0
21,699000.0,78717,3553.0
22,549900.0,78717,3553.0
23,350000.0,78747,3271.0
24,240000.0,78725,624.0
25,249900.0,78725,624.0
26,400000.0,78717,3553.0
27,200000.0,78725,624.0
28,875000.0,78726,2580.0
29,164995.0,78747,3271.0
30,287500.0,78744,21305.0
31,650000.0,78717,3553.0
32,196000.0,78725,624.0
33,239999.0,78747,3271.0
34,830000.0,78726,2580.0
35,219990.0,78725,624.0
36,195000.0,78725,624.0
37,4250000.0,78732,70.0
38,309999.0,78744,21305.0
39,427000.0,78726,2580.0
40,205000.0,78725,624.0
41,300000.0,78747,3271.0
42,344600.0,78717,3553.0
43,3395000.0,78732,70.0
44,399900.0,78744,21305.0
45,648000.0,78750,5435.0
46,186500.0,78725,624.0
47,219000.0,78725,624.0
48,179900.0,78725,624.0
49,405000.0,78729,6399.0
50,2950000.0,78732,70.0
51,565000.0,78747,3271.0
52,194098.0,78725,624.0
53,255700.0,78724,6658.0
54,495000.0,78726,2580.0
55,325000.0,78744,21305.0
56,250000.0,78719,2107.0
57,198500.0,78725,624.0
58,485000.0,78726,2580.0
59,5495000.0,78732,70.0
60,440000.0,78717,3553.0
61,225000.0,78725,624.0
62,207900.0,78725,624.0
63,575000.0,78750,5435.0
64,200000.0,78725,624.0
65,675000.0,78717,3553.0
66,975000.0,78726,2580.0
67,259000.0,78729,6399.0
68,275000.0,78744,21305.0
69,199999.0,78725,624.0
70,268729.0,78725,624.0
71,625000.0,78717,3553.0
72,435000.0,78726,2580.0
73,285000.0,78744,21305.0
74,399900.0,78731,5780.0
75,215000.0,78725,624.0
76,519500.0,78726,2580.0
77,450000.0,78750,5435.0
78,463700.0,78726,2580.0
79,209900.0,78725,624.0
80,375000.0,78744,21305.0
81,229900.0,78725,624.0
82,549900.0,78726,2580.0
83,690000.0,78750,5435.0
84,584900.0,78717,3553.0
85,287500.0,78660,3005.0
86,599800.0,78750,5435.0
87,325000.0,78744,21305.0
88,350000.0,78717,3553.0
89,574900.0,78726,2580.0
90,374000.0,78750,5435.0
91,699900.0,78750,5435.0
92,205000.0,78725,624.0
93,425000.0,78726,2580.0
94,425000.0,78731,5780.0
95,684000.0,78750,5435.0
96,359965.0,78717,3553.0
97,120000.0,78725,624.0
98,225000.0,78660,3005.0
99,388990.0,78744,21305.0
100,435000.0,78750,5435.0
101,795000.0,78750,5435.0
102,218800.0,78725,624.0
103,200000.0,78725,624.0
